Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT,FTM/A,PCT,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG
at  Idaho,11/07/24,79-75,W,26-61,.426,7-27,.259,20-26,.769,13,25,38,40.0,20,8,12,1,8,79,76.0
vs  Menlo,11/12/24,80-70,W,30-61,.492,5-17,.294,15-17,.882,8,29,37,39.0,12,17,12,6,9,80,77.3
at  Stanford,11/17/24,65-79,L,24-53,.453,5-16,.313,12-17,.706,3,27,30,36.8,18,8,14,4,5,65,74.3
at  Grand Canyon,11/20/24,75-68,W,26-57,.456,7-15,.467,16-18,.889,10,25,35,36.4,20,9,18,3,11,75,74.4
vs  Norfolk St.,11/25/24,55-76,L,14-39,.359,7-23,.304,20-29,.690,6,22,28,35.0,15,9,23,6,5,55,71.2
at  Oregon St.,11/30/24,57-90,L,19-53,.358,9-21,.429,10-17,.588,6,11,17,32.4,20,11,10,1,5,57,69.1
vs  Cal Poly,12/05/24,77-66,W,28-63,.444,9-21,.429,12-16,.750,10,21,31,32.3,18,18,21,6,18,77,70.1
vs  UC Santa Barbara,12/07/24,71-60,W,22-53,.415,9-23,.391,18-23,.783,8,28,36,32.7,16,12,11,4,8,71,70.2
at  Sacramento St.,12/14/24,69-62,W,23-48,.479,4-15,.267,19-27,.704,8,25,33,32.7,15,10,14,3,10,69,70.1
vs  Idaho,12/18/24,74-66,W,21-50,.420,5-14,.357,27-43,.628,15,26,41,33.5,19,12,14,6,9,74,70.5
at  Pepperdine,12/21/24,46-85,L,14-50,.280,1-15,.067,17-23,.739,9,21,30,33.2,17,5,18,4,6,46,68.4
vs  Cal Maritime,12/28/24,109-46,W,42-82,.512,10-25,.400,15-24,.625,27,33,60,35.2,13,21,7,5,10,109,71.5
at  CSU Bakersfield,01/02/25,64-75,L,20-53,.377,4-21,.190,20-28,.714,14,21,35,35.2,25,5,12,1,2,64,71.0
at  CSUN,01/04/25,61-73,L,16-53,.302,8-24,.333,21-29,.724,9,25,34,35.1,24,12,17,2,14,61,70.3
vs  Cal St. Fullerton,01/09/25,63-53,W,19-53,.358,5-23,.217,20-24,.833,8,25,33,35.0,21,9,15,4,10,63,69.9
vs  Long Beach St.,01/11/25,73-84,L,19-54,.352,8-22,.364,27-31,.871,17,16,33,34.9,23,9,16,3,6,73,70.1
at  Cal Poly,01/16/25,65-54,W,24-58,.414,5-18,.278,12-13,.923,14,21,35,34.9,15,7,11,2,11,65,69.8
at  UC Santa Barbara,01/18/25,64-60,W,23-48,.479,2-9,.222,16-18,.889,7,22,29,34.6,17,8,9,3,5,64,69.5
vs  Hawaii,01/23/25,68-66,W,26-58,.448,4-9,.444,12-20,.600,10,21,31,34.4,21,10,5,4,5,68,69.4
at  UC Riverside,01/30/25,58-60,L,24-58,.414,5-19,.263,5-6,.833,12,22,34,34.4,11,12,10,3,4,58,68.9
at  UC Irvine,02/01/25,66-73,L,23-60,.383,8-18,.444,12-15,.800,13,22,35,34.4,21,16,17,6,8,66,68.7
at  Long Beach St.,02/06/25,73-65,W (OT),25-52,.481,8-22,.364,15-20,.750,5,24,29,34.2,15,15,15,3,11,73,68.9
at  Cal St. Fullerton,02/08/25,65-49,W,26-61,.426,7-19,.368,6-13,.462,9,23,32,34.1,19,16,10,5,12,65,68.8
vs  UC Riverside,02/13/25,75-74,W,24-52,.462,5-15,.333,22-27,.815,13,30,43,34.4,11,11,16,2,3,75,69.0
at  UC San Diego,02/15/25,60-85,L,23-52,.442,4-17,.235,10-10,1.000,6,25,31,34.3,19,11,14,2,5,60,68.7
UC Davis,,-,,604-1448,.417,157-495,.317,420-560,.750,273,619,892,34.3,470,287,358,95,205,1785,68.7
Opponents,,-,,604-1457,.415,185-550,.336,400-539,.742,303,636,939,36.1,499,336,402,63,182,1793,69.0
